Roughness;Roughness;
x;y;
[m];[m];
1.0813273e-05;1.0558302e-10;
1.0832827e-05;3.0397245e-11;
1.085238e-05;3.5513098e-12;
1.0871934e-05;-6.0988175e-11;
1.0891488e-05;-1.5266399e-11;
1.0911042e-05;1.7330318e-11;
1.0930596e-05;-1.4127827e-11;
1.095015e-05;4.767474e-11;
1.0969703e-05;-5.0929859e-11;
1.0989257e-05;-1.663414e-10;
1.1008811e-05;-1.7699852e-10;
1.1028365e-05;-1.4311042e-10;
1.1047919e-05;2.7987803e-11;
1.1067473e-05;4.4102098e-10;
1.1087027e-05;7.6199579e-10;
1.110658e-05;7.7783767e-10;
1.1126134e-05;8.6734437e-10;
1.1145688e-05;8.9998626e-10;
1.1165242e-05;1.0407526e-09;
1.1184796e-05;8.5873086e-10;
1.120435e-05;6.3776503e-10;
1.1223903e-05;5.7003137e-10;
1.1243457e-05;3.9014786e-10;
1.1263011e-05;5.3021394e-11;
1.1282565e-05;-4.2402748e-10;
1.1302119e-05;-8.7956819e-10;
1.1321673e-05;-1.0066953e-09;
1.1341226e-05;-1.0243624e-09;
1.136078e-05;-9.6976651e-10;
1.1380334e-05;-8.3783623e-10;
1.1399888e-05;-7.6008836e-10;
1.1419442e-05;-7.7732236e-10;
1.1438996e-05;-1.0571551e-09;
1.1458549e-05;-1.4759733e-09;
1.1478103e-05;-1.7716553e-09;
1.1497657e-05;-1.6673741e-09;
1.1517211e-05;-1.5738311e-09;
1.1536765e-05;-1.2727912e-09;
1.1556319e-05;-8.7295626e-10;
1.1575872e-05;-4.4234867e-10;
1.1595426e-05;1.252155e-10;
1.161498e-05;3.7289002e-10;
1.1634534e-05;5.8747364e-10;
1.1654088e-05;7.2997749e-10;
1.1673642e-05;1.1130146e-09;
1.1693196e-05;1.3145355e-09;
1.1712749e-05;1.2528119e-09;
1.1732303e-05;1.1556118e-09;
1.1751857e-05;1.0880022e-09;
1.1771411e-05;9.905364e-10;
1.1790965e-05;1.031871e-09;
1.1810519e-05;1.0415736e-09;
1.1830072e-05;1.1773649e-09;
1.1849626e-05;1.1287081e-09;
1.186918e-05;1.1019479e-09;
1.1888734e-05;1.1421456e-09;
1.1908288e-05;1.1647765e-09;
1.1927842e-05;1.2040715e-09;
1.1947395e-05;1.0913752e-09;
1.1966949e-05;8.2170566e-10;
1.1986503e-05;7.5681296e-10;
1.2006057e-05;7.9650861e-10;
1.2025611e-05;7.4982626e-10;
1.2045165e-05;6.6029873e-10;
1.2064718e-05;4.6362285e-10;
1.2084272e-05;4.4861672e-10;
1.2103826e-05;5.0139764e-10;
1.212338e-05;5.1004767e-10;
1.2142934e-05;3.1551476e-10;
1.2162488e-05;2.3441032e-10;
1.2182041e-05;7.7511992e-11;
1.2201595e-05;-1.880374e-10;
1.2221149e-05;-6.024908e-11;
1.2240703e-05;-5.005759e-11;
1.2260257e-05;-3.5705674e-10;
1.2279811e-05;-5.5766461e-10;
1.2299365e-05;-6.474841e-10;
1.2318918e-05;-6.6726031e-10;
1.2338472e-05;-8.6864566e-10;
1.2358026e-05;-1.0834981e-09;
1.237758e-05;-1.3702105e-09;
1.2397134e-05;-1.7286696e-09;
1.2416688e-05;-2.0340285e-09;
1.2436241e-05;-2.3546898e-09;
